Wage,Age,Club,League,Nation,Position,Apps,Caps
"46,427,000",23,PSG,Ligue 1 Uber Eats,FRA,Forward,190,57
"42,125,000",30,PSG,Ligue 1 Uber Eats,BRA,Midfilder,324,119
"34,821,000",35,PSG,Ligue 1 Uber Eats,ARG,Forward,585,162
"19,959,000",31,R. Madrid,La Liga,BEL,Forward,443,120
"19,500,000",,Man UFC,Premier League,ESP,Goalkeeper,480,45
"18,810,000",30,R. Madrid,La Liga,AUT,Defender,371,94
"18,200,000",29,Inter,Serie A,BEL,Forward,427,102
"18,200,000",30,Liverpool,Premier League,EGY,Forward,367,85
"18,200,000",27,Chelsea,Premier League,ENG,Midfilder,326,77
"18,200,000",29,Man UFC,Premier League,FRA,Defender,287,86
"17,680,000",31,Man City,Premier League,BEL,Midfilder,399,91
"17,680,000",22,Man City,Premier League,NOR,Forward,159,21
"16,121,000",32,R. Madrid,La Liga,GER,Midfilder,433,105
"15,965,000",29,A. Madrid,La Liga,SVN,Goalkeeper,368,50
"15,600,000",,Chelsea,Premier League,SEN,Defender,347,61
"15,600,000",30,Man UFC,Premier League,BRA,Midfilder,328,63
"15,476,000",30,FC Bayern,Bundesliga,SEN,Forward,355,87
"15,476,000",34,Barcelona,La Liga,POL,Forward,506,132
"15,080,000",31,Chelsea,Premier League,FRA,Midfilder,350,53
"15,046,000",,FC Bayern,Bundesliga,GER,Midfilder,457,115
"15,046,000",27,FC Bayern,Bundesliga,GER,Defender,260,68
"14,616,000",26,FC Bayern,Bundesliga,GER,Midfilder,205,45
"14,616,000",36,FC Bayern,Bundesliga,GER,Goalkeeper,496,112
"14,432,000",34,R. Madrid,La Liga,FRA,Forward,532,97
"14,432,000",36,R. Madrid,La Liga,CRO,Midfilder,560,152
"14,300,000",,Man UFC,Premier League,ENG,Midfilder,141,23
"14,040,000",26,Man City,Premier League,ENG,Midfilder,254,23
"13,756,000",23,FC Bayern,Bundesliga,NED,Defender,188,37
"13,747,000",30,A. Madrid,La Liga,ESP,Midfilder,456,66
"13,333,000",27,A. Madrid,La Liga,ESP,Midfilder,349,19
"13,272,000",30,R. Madrid,La Liga,BEL,Goalkeeper,418,94
"13,000,000",26,Man UFC,Premier League,FRA,Forward,236,30
"13,000,000",27,Man UFC,Premier League,POR,Midfilder,313,46
"13,000,000",22,Chelsea,Premier League,ENG,Defender,133,13
"12,896,000",27,FC Bayern,Bundesliga,GER,Midfilder,190,34
"12,896,000",26,FC Bayern,Bundesliga,FRA,Midfilder,181,40
"12,480,000",31,Liverpool,Premier League,NED,Defender,334,47
"12,381,000",29,PSG,Ligue 1 Uber Eats,ITA,Midfilder,327,49
"12,381,000",28,PSG,Ligue 1 Uber Eats,BRA,Defender,273,69
"12,070,000",25,Barcelona,La Liga,NED,Defender,207,43
"12,037,000",31,A. Madrid,La Liga,FRA,Forward,462,108
"12,037,000",27,FC Bayern,Bundesliga,GER,Midfilder,252,44
"11,960,000",21,Chelsea,Premier League,FRA,Defender,55,0
"11,710,000",36,PSG,Ligue 1 Uber Eats,ESP,Defender,547,180
"11,700,000",31,Liverpool,Premier League,ESP,Midfilder,318,46
"11,700,000",24,Man UFC,Premier League,ENG,Forward,210,46
"11,440,000",29,Tottenham,Premier League,ENG,Forward,341,73
"11,440,000",28,FC Bayern,Bundesliga,POR,Defender,264,36
"11,177,000",23,PSG,Ligue 1 Uber Eats,ITA,Goalkeeper,239,46
"11,177,000",,FC Bayern,Bundesliga,FRA,Defender,155,32
"11,173,000",22,Juventus,Serie A,SRB,Forward,138,14
"10,973,000",29,R. Madrid,La Liga,GER,Defender,282,53
"10,400,000",28,Man City,Premier League,ENG,Defender,225,58
"10,400,000",29,Man UFC,Premier League,ENG,Defender,374,46
"10,400,000",31,Man City,Premier League,ALG,Midfilder,367,75
"10,385,000",31,Juventus,Serie A,BRA,Defender,325,37
"10,380,000",35,Juventus,Serie A,ITA,Defender,477,116
"10,380,000",32,Juventus,Serie A,POL,Goalkeeper,373,64
"10,346,000",25,Barcelona,La Liga,CIV,Midfilder,253,56
"10,346,000",,Barcelona,La Liga,ESP,Midfilder,480,137
"10,346,000",25,Barcelona,La Liga,FRA,Midfilder,165,27
"10,346,000",25,Barcelona,La Liga,BRA,Midfilder,190,9
"10,346,000",19,Barcelona,La Liga,ESP,Forward,44,4
"10,346,000",26,Barcelona,La Liga,DEN,Defender,160,56
"10,317,000",35,Nottm Forest,Premier League,CRC,Goalkeeper,325,107
"10,244,000",30,Tottenham,Premier League,KOR,Midfilder,379,102
"9,887,000",28,A. Bilbao,La Liga,GHA,Midfilder,309,0
"9,880,000",32,Liverpool,Premier League,ENG,Midfilder,406,69
"9,880,000",29,Liverpool,Premier League,BRA,Goalkeeper,224,55
"9,880,000",25,Chelsea,Premier League,ENG,Defender,147,17
"9,672,000",22,R. Madrid,La Liga,BRA,Forward,164,14
"9,656,000",,Barcelona,La Liga,ESP,Defender,434,85
"9,578,000",25,Inter,Serie A,ARG,Forward,187,38
"9,578,000",29,Inter,Serie A,CRO,Midfilder,364,74
"9,457,000",23,FC Bayern,Bundesliga,FRA,Defender,180,6
"9,457,000",28,Borussia Dortmund,Bundesliga,CIV,Forward,290,15
"9,439,000",31,Capitoline,Serie A,NED,Midfilder,470,85
"9,405,000",24,R. Madrid,La Liga,URU,Midfilder,175,42
"9,360,000",,Arsenal,Premier League,BRA,Forward,80,3
"9,360,000",28,Man City,Premier League,POR,Midfilder,313,70
"9,360,000",28,Liverpool,Premier League,BRA,Defender,319,27
"9,360,000",29,Man City,Premier League,BRA,Goalkeeper,296,18
"9,360,000",33,Tottenham,Premier League,CRO,Defender,433,113
"9,360,000",30,Liverpool,Premier League,BRA,Forward,414,55
"9,360,000",21,Chelsea,Premier League,ARG,Midfilder,71,2
"9,100,000",32,Man City,Premier League,ENG,Defender,400,68
"9,100,000",24,Tottenham,Premier League,ARG,Defender,131,11
"9,100,000",25,Man City,Premier League,POR,Defender,214,37
